system:index,date,month,water_area_m2,year,.geo
2015_01,2015-01,1,4.250524596356799E7,2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
2015_02,2015-02,2,0.0,2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
2015_03,2015-03,3,3.1058478329551544E7,2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
2015_04,2015-04,4,3.240643881601108E7,2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
2015_05,2015-05,5,2.3817867101732202E7,2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
2015_06,2015-06,6,2.1924170473259177E7,2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
2015_07,2015-07,7,396162.9104614258,2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
2015_08,2015-08,8,1.042977289478712E7,2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
2015_09,2015-09,9,4.1588796903120205E7,2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
2015_10,2015-10,10,4.2365373845698565E7,2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
2015_11,2015-11,11,3.899754739924149E7,2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
2015_12,2015-12,12,4.026913801174723E7,2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
2016_01,2016-01,1,4.1065155406502515E7,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
2016_02,2016-02,2,4.142026536185853E7,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
2016_03,2016-03,3,3.677290542899242E7,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
2016_04,2016-04,4,1.6392356746879073E7,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
2016_05,2016-05,5,1.607346395811456E7,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
2016_06,2016-06,6,0.0,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
2016_07,2016-07,7,2.7907661071730185E7,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
2016_08,2016-08,8,3.883878863298244E7,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
2016_09,2016-09,9,4.103497091683349E7,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
2016_10,2016-10,10,3.798895431603956E7,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
2016_11,2016-11,11,3.564991431767434E7,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
2016_12,2016-12,12,3.698912878271484E7,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
2017_01,2017-01,1,3.80680742469717E7,2017,"{""type"":""MultiPoint"",""coordinates"":[]}"
2017_02,2017-02,2,3.923822831601754E7,2017,"{""type"":""MultiPoint"",""coordinates"":[]}"
2017_03,2017-03,3,3.2327849968343344E7,2017,"{""type"":""MultiPoint"",""coordinates"":[]}"
2017_04,2017-04,4,2.7531046798177812E7,2017,"{""type"":""MultiPoint"",""coordinates"":[]}"
2017_05,2017-05,5,1.4966594101337504E7,2017,"{""type"":""MultiPoint"",""coordinates"":[]}"
2017_06,2017-06,6,2.3155605331029553E7,2017,"{""type"":""MultiPoint"",""coordinates"":[]}"
2017_07,2017-07,7,2.8694104228589356E7,2017,"{""type"":""MultiPoint"",""coordinates"":[]}"
2017_08,2017-08,8,7533117.145336674,2017,"{""type"":""MultiPoint"",""coordinates"":[]}"
2017_09,2017-09,9,2.4030951684289075E7,2017,"{""type"":""MultiPoint"",""coordinates"":[]}"
2017_10,2017-10,10,3.628366859615384E7,2017,"{""type"":""MultiPoint"",""coordinates"":[]}"
